#,Ref,Value,Qnty,MPN,Package,Footprint
1,C1,1uF 10V,1,FS15B105K100PKG,1005,Capacitor_SMD:1005_C
2,"C2, C5, C6, C7, C8, C9, C10, C11, C12, C13",0.1uF,10,CC0402KRX7R7BB104,1005,Capacitor_SMD:1005_C
3,"C3, C4",10uF 6.3V,2,JMK105CBJ106MV-F,1005,Capacitor_SMD:1005_C
4,"C14, C15, C16, C17, C18, C19, C20, C21",0.1uF 100V,8,NM0805B104K101CEDN,2012,Capacitor_SMD:2012_C
5,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D22, D23",TVS,16,AR0521P1,1006,Diode_SMD:1006_C
6,"D15, D16, D17, D18, D19, D20, D21",USB,7,APHB1608SGEC,1608,LED_SMD:Duo_LED_1.6x0.8_Kingbright_APHB1608LZGKSURKC
7,F1,1.1A,1,0805L110ULYR,2012,Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder
8,"J2, J3, J4, J5, J6, J7, J8",USB,7,SM04B-SRSS-TB(LF)(SN) ,,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal
9,R1,10k,1,0402WGF1002TCE,1005,Resistor_SMD:1005_C
10,"R2, R3, R4, R5",100k,4,0402WGF1003TCE,1005,Resistor_SMD:1005_C
11,R6,2.7k,1,0402WGF2701TCE,1005,Resistor_SMD:1005_C
12,"R7, R8, R9, R10, R11, R12, R13",470,7,0402WGF4700TCE,1005,Resistor_SMD:1005_C
13,U1,MaxLinear_XR22417-48,1,XR22417CV48TR-F,LQFP-48,Package_QFP:LQFP-48_7x7mm_P0.5mm
14,Y1,12MHz 50ppm 16-20pF,1,CM4012M00020T8188026,2520,Crystal:Crystal_4-SMD_2.5x2mm
